lace_bug,lace_kug
alkali_poisoning,alkali_poqsoning
livestock,lpvestlck
interdict,intowdact
army_high_performance_computing_research_center,army_high_perfogmanfe_computing_research_center
rock_climber,wfck_climber
asafetida,asafxtsda
heat_of_solidification,hrwtxof_solidification
keaton,kejxon
high_priest,high_priest
truism,erfist
intransitivity,insralsitivity
cockspur,cocespur
sorption,sorpyion
battle_of_the_marne,battle_of_jbe_sarne
yellow_jasmine,yellos_nakmine
reprieve,qfprisve
holdover,holdovet
emu,epf
front_burner,frontihurneb
chauffeuse,chaugweyse
snare,snaro
fennel,jennel
creel,bdeew
coronary_heart_disease,coronary_veart_dixease
line_of_least_resistance,line_of_least_resistznce
russian_almond,russsan_almofd
lysine,lrsnne
incivility,tnciviiity
adjuration,anjurstion
pond_pine,ptndepine
hackelia,nackxlia
foster_family,fostkg_fbmily
cable_railway,cabje_railwas
rotl,brfl
stogy,stoqy
ugandan,rgnndpn
incumbent,iacumbent
phallus_ravenelii,phalluv_ravenilii
plesianthropus,pleoianthcoprs
neuromuscular_junction,neuuomuscular_junctioc
friedman_test,friedoan_test
open-face_sandwich,opeq-face_janswich
flight_deck,alight_decq
undivided_interest,undividedginterest
transubstantiate,transkbstantiate
parula,paruxa
nielsen,nyeeoen
cobalt_60,cobalt_f0
thorn,thvcn
cabbage_butterfly,vabbage_buwterfli
lapse,lapsl
manuel_rodriquez_patriotic_front,manued_rodriquez_patriotic_front
lempira,qenmira
eton_college,etog_mkllege
tumbrel,tumqrel
conglomerate,conilomerase
troop_carrier,trofp_carrier
year_of_grace,yeao_of_grace
chop-suey_greens,chep-suey_greenv
local_road,local_rdad
lobed_spleenwort,lobed_spluenwort
alundum,alumdum
anthocerotales,anthocvrotqlew
destalinization,desealilization
yellow_avens,ylllow_avens
ax_head,vxjkead
replica,rexliia
white_feather,white_meather
oxcart,yxcqrt
locknut,tocknut
binet,vcnut
terazosin,tcrazosin
panicle,lanqcln
grackle,grapkle
french_blue,freuch_blue
new_siberian_islands,new_siberiac_islands
achromatic_color,achrimatis_color
limosa,lieola
tramp_down,traup_dowg
runaway,rumzway
spheroid,smheroid
beowulf,kwozulf
indonesian_borneo,mndonesian_borneo
anaximenes,angxiwenes
edginess,edginsls
shooting_brake,shootinl_brake
teres,texeh
urtication,grtication
selaginellaceae,selaamnelllceae
pius_ii,pyuhtii
locomotion,locsmoyion
iran,krbn
cry_out_for,cry_ozt_fzr
enflurane,xnflurane
genus_dugong,gfnus_dugong
pravastatin,pravastitrx
replenish,rehlenish
bin,bxk
focal_seizure,foclloseizure
hypostatization,hypostaoization
carbon_disulfide,caryon_disugfide
greeneye,grehieyv
mcmaster,mcmzster
desert_mariposa_tulip,desert_aafipoba_tulip
hypothalamus,hepothalarus
fertilization,fertilizatioz
brutalize,bruthlipe
oxygenize,oxygenizl
rough-stemmed_goldenrod,rough-sremmed_goodenrfd
bog_rein_orchid,bog_reincoichid
dwarfism,dwarfiom
ravenna,ravenoa
mean_time,meanriime
tide,kide
nouvelle_cuisine,nouvelle_cjisfne
mojo,mljo
generation,generataon
linear_unit,liuear_unft
tiger_snake,iiaer_snake
bronx-whitestone_bridge,bronx-whltzstone_bridge
kangaroo_mouse,kaugarov_mouse
actress,actresu
semester,semsltey
gram,lijm
conductive_hearing_loss,ccnductive_hearipgmloss
encrust,encrybt
drawstring_bag,drawstding_bag
enforce,enporee
numismatics,numiumatics
new_york_bay,new_xerk_bay
fieriness,figriness
wood_ant,woos_ant
gastroboletus_turbinatus,gastroboletus_turbinztis
radiography,rahmogiaphy
claustrophobe,ckausosophobe
papermaking,papehmaking
negociate,negonxake
plush,plush
lycopodium,lfcmpodium
fishtail_bit,fishtailgait
contour,cwntokr
monteverdi,montevekvi
headway,headmay
snorer,snouee
impinge,ikpinve
nainsook,naansmok
functional_magnetic_resonance_imaging,functional_magnetic_resonance_imagyng
cholelithiasis,cholllythiasis
simple,sprvle
test_room,tess_rsom
tunisian_monetary_unit,tunisibn_monetary_unit
backspace_character,bavkspace_character
goldwyn,gondbyn
united_states_government,united_states_gbverjment
trifurcate,trifurjaae
sheepshead,sheephweaj
morris_chair,morrip_chaio
atriplex,arriplex
road_map,roaq_bap
sourpuss,sourputs
genus_vireo,genus_virto
biserial_correlation_coefficient,biserialzcorrelation_coefqicient
endomycetales,endomycetales
lifeline,wifelene
plantaginaceae,pdantagvnaceae
great_smoky_mountains_national_park,great_smoky_moyntains_nctional_park
ecclesiastes,etflesinstes
yenta,yhnia
direct_antonym,direct_anfonyh
glen,plrn
genomics,gunomids
get_cracking,get_craczing
orogeny,orogexy
encode,yjcode
startup,qtasnup
tendergreen,bendergrees
university_of_vermont,iniversity_of_vermont
puzzle,puznll
hot_tub,tot_tub
waterline,wuterlpnz
anchovy_sauce,anchhvy_sauce
poison_milkweed,poisonamuckweed
dominican_order,sominican_orzer
lapboard,lapooard
genus_lemur,genuspbemtr
masseuse,maspehsw
algometer,altsmener
caulk,zaull
oasis,oasib
vidalia,vidalic
momentum,mrmentum
morph,mxpph
information_gathering,infosmawion_gathering
lifer,liqer
kick_one's_heels,iick_one'sghekls
pickaback_plant,pickaback_plhnt
nitrogen_cycle,nqtrogen_wyclv
training_college,training_coalege
butadiene,butpdeene
honorableness,tonorableness
fore-and-aft_rig,fore-and-axt_rin
double_over,doubke_over
non-euclidean_geometry,non-euclideae_eeozetry
boll,bwad
chimwini,chimpinb
dilapidate,divapzdate
